Dream_Description,Interpretation
Blind in one eye,"Indicates heedlessness, misguidance, or an inheritance. It may also signify poverty, a calamity, or the loss of a dear person."
Blindness,"Represents heedlessness, poverty, or a misfortune. It can also indicate a pilgrimage, debts, or betrayal of oneÃ¢ÂÂs covenant."
Blintz,Refers to a type of pastry.
Blister beetle,Also known as Spanish fly.
Blithe,"Signifies comfort, a good spirit, and satisfaction of aspirations, especially for a grateful person."
Blond,"The color blond in a dream may represent war, sickness, piety, or contemptibility."
Blood disease,"Indicates a type of blood disorder, such as an imbalance between red and white blood cells."
Blood letting,Refers to cupping or a traditional medical practice.
Blood ties,Represents familial connections or debts.
Blood,"Represents unlawful money, sin, or evil acts. It can also indicate health, safety, or the consequences of one's actions."
Bloodsucker,Refers to a leech.
Blossoms,"Signify inner or outer light, guidance, or spiritual and material gains."
Blotch,Refers to freckled or piebald spots.
Blouse,A type of shirt.
Blow one's nose,Refers to nasal mucus.
Blow,"May signify various actions or events depending on the context, including blowing into fire (kindling conflict) or blowing the trumpet of resurrection (announcing the truth or hearing worrisome news)."
Blue,"Represents distress, depression, enmity, or a calamity."
Blunder,"Signifies disobedience, sin, or foolish talk."
Blushing,"Indicates dignity, nobility, or exposure of one's good or bad deeds."
Boast,Represents wealth and spending.
Boat,"Represents profits, business, or familial conditions. Different types of boats indicate varying levels of success and benevolence."
Body lice,Refers to nits or lice affecting the body.
Body snatcher,Refers to a grave digger or someone involved in exhuming bodies.
Seeing one's head and brain in a dream,"Represents man's controller, strength, benefits, longevity, wisdom, or power."
Seeing one's ears in a dream,"Represents one's wife, daughter, sister, or aunt."
Seeing one's eyes in a dream,"Represents one's faith, religion, or children; right eye represents son, left eye represents daughter."
Seeing one's forehead in a dream,"Represents one's beauty, son, power, honor, wealth, leadership, or the point of prostration in prayers; a wide forehead means prosperity, a narrow forehead means tightness."
Seeing eyebrows in a dream,Represents one's protection or spiritual guardianship.
Seeing one's nose in a dream,"Represents honor, longevity, and respect; what comes out of the nose is good, what goes into it may not be beneficial."
Seeing a bleeding nose in a dream,Indicates receiving or giving money.
Seeing one's nose cut off in a dream,"Means circumcision, falling in rank, or death."
Seeing water or a bird coming out of one's nose in a dream,"Represents a cattle, a pet, or a domesticated animal giving birth in the house."
Seeing a large nose in a dream,Represents honor and respect.
Smelling a nice fragrance in a dream,Means begetting a son or relief from difficulties.
Seeing one's face in a dream,"Represents happiness or sorrow; a bright face means glad tidings, a yellowish face means miseries."
Seeing a frowning face in a dream,"Means misfortune; for a woman, it indicates the death of her husband."
Seeing the two lips in a dream,Represents one's helpers; the lower lip is stronger in meaning.
Seeing sealed lips in a dream,Means difficulties or adversities.
Seeing the mouth in a dream,"Represents a key, livelihood, the conclusion of life, death, illness, strength, a coffer, a marketplace, a door attendant, or a chief minister."
Seeing one's tongue in a dream,"Represents a translator; a long tongue means winning an argument, an elongated tongue of a judge means clarity and justice."
Seeing a tied-up tongue in a dream,"Means poverty, sickness, depression, a calamity, or an unworthy person."
Seeing oneself with two tongues in a dream,Means praiseworthiness and acquiring two types of knowledge.
Seeing one's throat blocked in a dream,Denotes stinginess toward one's own family.
Seeing one's limb speaking against him in a dream,Means someone will report him to authorities or become a witness against him.
Seeing oneself riding over someone's shoulders in a dream,"If an enemy, it means committing a wrongdoing; if a friend, it means earning something from him."
Seeing oneself carrying something over one's shoulders in a dream,Represents debts or work related to lumberyard.
Seeing one's neck in a dream,"Represents an embrace, a donation with terms, a legal will, or a conditional endowment."
Seeing a healthy and strong neck in a dream,Means trustworthiness and ability to meet obligations.
"Seeing a necklace, rope, or thread around one's neck in a dream","Means fulfilling one's promise, acquiring knowledge and honor."
Seeing a long neck in a dream,"Represents justice, leadership, attainment of goals, or calling people to prayers."
Seeing the left hand in a dream,"Represents a helper, friend, savings, or a compassionate relative."
Seeing long hands in a dream,Represents a charitable or capable person; short hands mean the opposite.
Seeing one's hand cut off in a dream,"Means death of a close person, loss of job, or theft."
Seeing one's left hand cut off in a dream,Means reestablishing relationships or rediscovering benefits of good qualities.
Seeing one's hand broken in a dream,"Means adversity, illness, loss of business, or loss of a dear person."
Seeing one's hands trembling in a dream,"Means weakness, illness, old age, or longevity."
Seeing one's hand pulled from under the arm's pit revealing a flame or water in a dream,"Represents manifestation of divine power, benefits, or the arrival of a long-awaited traveler."
Seeing one's feet in a dream,"Represents parents, livelihood, a journey, or wealth."
Seeing broken or cut off feet in a dream,Means death of a parent or loss of half of one's capital.
Seeing one's bones in a dream,"Represents livelihood, religion, glory, or money."
Seeing bone marrow in a dream,"Represents hidden money, good awareness, patience, and gratitude."
Seeing veins and nerves in a dream,"Represents one's clan, modesty, and progeny."
Seeing human skin in a dream,"Means ornaments, presiding over others, a veil, blessings, livelihood, provisions, life, and a garment."
Seeing one's body turn into iron or clay in a dream,Means death.
Seeing a fat body in a dream,Means prosperity and knowledge; an emaciated body represents poverty and ignorance.
Seeing oneself as a ram in a dream,Means begetting a son from whose success one will earn livelihood.
Seeing oneself wearing the skin of a snake in a dream,Means avowing enmity toward others.
Seeing oneself wearing a white garment with tied-up hands in a dream,"Means knowledge, understanding, beauty, and honor."
Bookbinder,"Represents an undertaker, tailor, or someone who conceals secrets and guards friendships. It can also symbolize affection reserved for a dear person."
Bookseller,"Represents someone with vast knowledge or who gathers amazing stories. It may signify overcoming troubles, solving problems, marriage, or the repentance of a sinner."
Bookstore,"Represents spiritual guidance, repentance from sin, governments, evil, or arguments."
Booty,"Receiving a share in a booty means joy, happiness, profits, benefits, attaining one's goals, blessings in earnings, buying power, or abundance."
Borrowing,"If the borrowed object is pleasing, it means good that will not last. If despised, it could signify a bad omen. Borrowing a vehicle or valuable object implies unlawfully getting hold of property or paying indemnity. It may also represent prosperity, success, or committing a shameful act."
Bowl,"Represents man's money pouch or what his wife would like to receive. Receiving a bowl filled with sweets means love, while sour food indicates animosity. A bowl can also signify a servant, child, or handmaiden."
Box (Trunk),"Represents a wife, beautiful woman, one's house, or shop. It also signifies marriage for an unwed person and prosperity for a poor person."
Boy,"Seeing a young boy signifies glad tidings. Begetting a boy may indicate worries or burdens, while giving birth to a girl suggests relief from distress. A beautiful young boy symbolizes good luck and victory."
Brace,"Represents tight circumstances, difficulties, adversities, pain, or the need for support. Using a brace in a dream signifies fulfilling one's purpose or resolving one's needs."
Bracelet,"Represents pride or women's ornaments, and for men, support from one's brother. Gold bracelets signify chastisement or exploitation. Silver bracelets indicate piety, increase in profits, or distress."
Bragging,"Represents a tyrant or unjust person. If the person is deceased, it warns the family. Bragging while yawning means affliction with illness."
Braiding,"Braiding women's hair symbolizes benefits, while for others, it represents complications, debts, or confusion."
Brain,"Represents savings, reason, or ignorance. Eating from one's own brain signifies suspicious dealings with money, while eating someone else's brain suggests impending death or theft."
Bran,"Represents charities, discord, or people's filth."
Brass,Represents enmity. Melting brass signifies engaging in fights and becoming a subject of talk. Yellow brass indicates harsh words and false statements.
Brazier,"Represents one's wife, housekeeper, or well-mannered child. Befriending them will lead to honor and good treatment."
Breach of a contract,"Represents betrayal, death, or emptiness."
Bread,"Represents earnings, life, longevity, or needs. Bleached flour bread signifies blessed earnings, while unbleached means disturbances. Bread can also represent one's life span or financial standing."
Break,Represents rupture of relations or discord.
Breakfast food,"Having a tasty breakfast means honor, promotion, or dispelling distress and illness."
Breast-feeding a man,Represents tightness in worldly means or imprisonment for both individuals involved.
Breast-feeding a child after weaning,Indicates sickness or imprisonment.
Pregnant woman breast-feeding a child,Signifies a safe delivery.
Breast-feeding a hunted or domesticated animal,"Means an affliction or calamity will occur, but it will eventually subside."
Man with milk in his breast,"Represents material success and prosperity, but breast-feeding someone indicates ill consequences for both."
Woman breast-feeding a man,Means the man is using force to get money from her.
Woman moving between other women and breast-feeding,Means she will never yield milk.
Sick person sucking milk,Signifies recovery from illness.
Woman's breast,"Represents the wife, progeny, or large property. Its ailment reflects her illness."
Seeing milk coming from one's breast (poor man),"Means poverty will end, and he will carry financial responsibilities for his siblings."
Young woman seeing her breasts,Indicates she will bear a child.
Single young girl seeing her breasts,Means she will get married.
Female child with matured breasts,Indicates her death.
Man suckling milk from an unknown woman,Represents a long sickness.
Old man seeing a woman's breast,Means hearing bad news.
Teenager seeing a woman's breast,Indicates being in love.
Man with a female milk-suckling breast,"Represents friends, children, or a wife who are of no benefit."
Hanging breasts in a dream,Means death of a child or committing a sin.
Breasts dripping milk,Represents a woman who cares about home duties or falling into debts.
Breasts transformed into iron or copper,Means loss of a child.
Children's bosom growing,Indicates illness or festering wounds.
Nipple of the female breast,Represents one's personal wardrobe or parents.
Bunch of dates,"Having a bunch of dates in a dream signifies savings, family reunion, and each bunch representing a member of a clan or head of a household."
Bunch of grapes,See Grapes
Bunch,"A bunch or bundle in a dream represents atonement for one's sin, compensation for failing a vow, or could indicate tainted business or money."
Bundle,See Bunch
Buoyancy,See Laughing
Burden,"Carrying weight, forbearance, or serving others. It may indicate responsibility or difficulty in managing one's duties."
Burglary,See Robbery
Burial,Seeing oneself being buried after death indicates a long journey with financial scarcity. Being buried alive signifies oppression or injustice from someone recognized in the dream. Surviving such adversities means escaping fear or prison. Being buried after death signifies warnings about good deeds and avoiding evil.
Buried alive,See Burial
Burn,See Cauterize
Burning coal,See Coal
Burning incense,See Aloe perfume; Civet; Incense; 'Ud
Burnishing,"Represents a minister or statesman, associating with righteous people who help correct one's faults."
Burp,Burping connotes a beneficial discussion.
Burrowing,See Mole
Bushel,See Half a bushel
Business association,See Partnership
Business loss,See loss
Bustard,"Represents a rich, spendthrift person with limited benefits to others and a gluttonous personality."
Busy,"Being busy indicates marriage to a virgin girl, interfering in others' business, or changing one's profession. A satisfactory new job suggests prosperity and marriage."
Butcher block,Represents a hypocrite who interferes in others' business and arguments.
Butcher's knife,See Cleaver
Butcher,"A butcher represents the angel of death. Holding a butcher's knife may signify illness followed by recovery. A clean butcher signifies longevity, while a stained one signifies adversity. A butcher specializing in animal heads represents adversity or the disappearance of knowledge."
Butler,See Skewer; Wick
Butter,"Eating butter signifies enjoying earnings, profits from business, good harvest, or ease in daily work."
Butterfly,"Represents ignorance, inexperience, or a weak enemy. It may also symbolize love or fire worshipers. A silkworm signifies charity or a short life."
Butterskin,See Churn
Butting,See Bullfight
Buttocks,See Rump
Button,"Represents protection, money, or profits. Buttoning a shirt signifies marriage or important roles in uniting people or reviving projects. Wearing a buttoned shirt suggests tight circumstances or reuniting with a traveler."
Buttonhole,See Button
Buyer,Represents someone under obligation or in need. Buying and selling signifies needing help or facing demanding situations.
Buying,Means selling something. See Sale.
Byre,See Carriage house
Cabbage,"Represents distress, money, or a rough person. Generally has negative connotations."
Cable,"Means a robbery, profits, longevity, or marriage."
Cactus,"Eating or smelling a cactus signifies sorrow, separation, or enduring an unhappy life."
Cadet,See Panderer; Pimp
Cadger,See Hobo
Cage maker,"Represents a builder, tailor, marriage, teacher, prison guard, or weaver."
Cage,"Represents a prison, cradle, or house. Entering one's head into a cage signifies selling one's house. A cage in a courthouse means marriage."
Cain,Represents concealing a murder or involvement in regrettable actions.
Cairo,See Egypt; Masjid
Cake,Eating modified bread or cake signifies sickness or loss of anticipated rewards.
Calamity,Represents rejoicing after great distress or the opposite effect in real life.
Calculate,See Counting
Calculator,See Abacus
Caldron,"Represents a practical method, mediator, or friend with important connections."
Calendar year,See Year
Calf,"Represents a newborn son. Broiled calf meat signifies appeasement or glad tidings of a firstborn son, or could indicate distress. An adorned calf signifies happiness or temptations."
Calif,"Represents order, leadership, or a deputy who establishes God's Laws. Attempting to kill the calif signifies seeking advancement."
Caliphate,See Calif; King; Vice-regent
Call to prayers,"Denotes pilgrimage season, backbiting, theft, major moves, or honor. Hearing the call in a language other than Arabic signifies lies. A woman calling to prayers means innovation and trials."
Caller to prayers (Muezzin),"Represents someone who calls for goodness, an officiant, or a messenger. May also symbolize a broker or wedding officiant."
Calligrapher,"Represents knowledge, charting, and clarity. Can also signify distress, trouble, or someone who teaches tricks."
Calling someone,Being called by name from a short distance means befriending lowly people. From a far distance indicates attaining honor or being distanced from God.
Calumniation,"Represents fire, harsh words, rebuke, or slander."
Camel driver,"Represents a manager, guide, sailor, or the death of a sick person."
Camel,"Riding an obedient camel means solving a problem with foreign help. Represents prosperity, trials, or a learned person. Seeing a camel leave signifies separation from a spouse."
Camphor,"Represents commendation, honor, secret charity, conceiving a child, or good deeds."
Canal,"Represents a woman, money, or a scholar. Digging a canal means prosperity. Blocking a canal signifies divorce or separation. Urinating in a canal means committing a sin."
Canary,See Roller (for specific interpretations).
Cancer,Associated with the Moon (for specific interpretations).
Candleholder,"Represents a wife for an unmarried person, or a son for a married man."
Candlelight,"Represents might or a noble, generous son. Melting wax represents lawful money. Seeing a candlestick means marriage or important appointments."
Candles store,Represents repentance and guidance.
Candy maker,Represents a knowledgeable man or profits.
Candy salesman,"Represents a kind, gentle person. Receiving money for candy means mutual praise and kind words."
Candy,"Signifies hard-earned money, release from prison, recovering from illness, or enrolling in school."
Caner,"Represents a weaver, tailor, builder, architect, or grave digger."
Canine,See Dog (for specific interpretations).
Canines,See Tooth (for specific interpretations).
Caning,"Represents a weaver, tailor, builder, or architect."
Cap,"Represents travels, support from a wife or husband, or honor. A torn cap signifies loss of authority or wealth."
Capote,See Coat; Overcoat (for specific interpretations).
Capricorn,Associated with the Moon (for specific interpretations).
Captain,"Signifies distant travels, business, or profits."
Captivated,See Fond (for specific interpretations).
Car racing,See Racing (for specific interpretations).
Car,"Represents proper management of life, dignity, honor, or delays in travel. Riding on a cargo vehicle signifies distress and sorrow."
Caraway,Represents a profitable investment.
Carder,Represents a repulsive woman or a hypocritical person.
Carding,See Cotton (for specific interpretations).
Carefulness,"Means hypocrisy, straying from the truth, or forgetting divine admonition."
Caressing,Represents having a soft heart or speaking gently. Caressing someone during daylight means slandering them.
Cargo,"Represents burdens, impediments, illness, or anxiety."
Carnal self,Relates to desire or ego (for specific interpretations).
Carnation,See Gillyflower; Musk (for specific interpretations).
Carnelian-red,"Represents dispelling poverty, blessings, and success in material and spiritual life."
Carnelian,Represents a good religious conduct or progeny.
Carob tree,See Tree (for specific interpretations).
Carob,"Represents debilitation, destruction, or death of a sick person."
Carpal tunnel,See Veins (for specific interpretations).
Carpenter,Represents a teacher or educator. Building or fixing things signifies various aspects of life including marriage and farming.
Carpet weaver,Represents a marriage officiant.
Carpet,"Represents comfort, promotion, worldly gains, or safety. A folded carpet signifies restricted income or difficulties."
Carriage house,"Represents an assembly place for politicians, leaders, or scholars. The condition reflects the state of such groups."
Carriage,"Represents dignity, honor, or a slow journey for travelers."
Carrier,"Represents recovery from illness, enduring burdens, or bringing comfort. Also signifies a forerunner or guardian."
Carriers of The Divine Throne,"Represents glory, integrity, and true faith."
Carrion crow,Represents a mighty person or disturbance without cause.
Carrot,"Represents reprimand, overcoming difficulties, or grief and depression."
Carrying a torch,See Torch (for specific interpretations).
Carrying someone,Represents trouble or harm. A heavy load may symbolize sins or burdens.
Carrying weight,Represents burdens or serving others.
Case,"Represents a wife, home, shop, or prosperity. A suitcase signifies travel."
Cask,Represents hypocrisy or concealing evil actions.
Casket,See Sarcophagus (for specific interpretations).
Cast,See Mold (for specific interpretations).
Cast2,Represents throwing or tossing.
Castanets,See Cymbals (for specific interpretations).
Castigate,See Cauterize (for specific interpretations).
Casting lots,"Represents adversities, rebukes, or exaggeration. Winning means overcoming opponents."
Casting stones,See Throwing stones (for specific interpretations).
Castle,"Represents truth, knowledge, or seeking refuge. Its components symbolize leaders, soldiers, or ministers."
Castration,"If one witnesses castration in a dream, it suggests halting any intentions of trust or secrets. Seeing oneself castrated indicates reluctance to testify to the truth or potential humiliation and submission to authority. Meeting a dignified, castrated person in a dream symbolizes meeting an angel with a divine message. Castration also signifies loss, absence of mannerism, hypocrisy, or evil intent."
Cat,"A cat in a dream represents various aspects including records, inheritance, work, or domestic issues. It can symbolize a fight, theft, or disloyalty. A cat stealing signifies financial loss or disputes. A wildcat represents adversities. Selling a cat suggests spending money, while a catÃ¢ÂÂs scratch or bite indicates betrayal or illness."
Catapult,(See Slingshot)
Cataract,"Discovering a cataract in a dream signifies sorrow, sadness, and dismay."
Catastrophe,(See Calamity)
Caterer,"A caterer in a dream signifies celebrations or weddings. Commercial caterers represent deterrents to benefits, while pastry caterers symbolize knowledge or profits. Travel caterers indicate migration or changes in living conditions. Hospital caterers are a negative sign. Catering a dinner signifies a wedding."
Caterpillar,A caterpillar represents a deceitful person who steals or deceives under the guise of piety. It suggests hidden threats or dishonest practices.
Cattle dealer,"A cattle dealer symbolizes someone who deals with wealthy individuals, or represents a town mayor, hunter, or fisherman."
Cattle-ranching,(See Stableman)
Cauliflower,"Seeing a cauliflower represents a passionate, helpful person. Holding a cauliflower signifies efforts to collect a debt through firmness."
Cauterize,"Cauterization in a dream indicates ruling, painful words, or hindrance in charity distribution. Gold or silver cauterization signifies stinginess. Iron cauterization suggests punishment for sins. Old cauterization marks indicate discovering a treasurer. It can also represent harsh speech or compliance with legal orders."
Cave-in,"A cave-in in a dream signifies threats from authority, severe chastisement, or a bitter illness affecting the population. For an evil person, it indicates punishment or a long, potentially fatal journey."
Cave,"Entering a cave represents safety, trust in God, or being saved from enemies. It symbolizes a woman, shelter, or secrets. It can also signify recovery from illness or finding a job."
Cavern,(See Cave)
Cease fire,(See Truce)
Ceiling,"A ceiling represents a respected person. If made of wood, it indicates deceit. A collapsing ceiling means fear of authority or the death of a household member. Leaking water signifies sorrow or sickness in the family. Seeing stars under the roof suggests a potential collapse."
Celebrations,(See Feast of Breaking the Fast; Feast of Immolation)
Celerity,(See Hurry)
Celery,"Celery represents money from authority, commendation, ingratitude, or affectation."
Celestial beings,(See Angels)
Celestial equator,(See Constellations)
Celestial poles,(See Constellations)
Celestial spheres,Seeing oneself at different celestial spheres indicates various associations from tyrants to noble marriages and leadership. Orbiting celestial spheres signifies rising in honor or meeting great rulers.
Cell,(See Hermitage)
Cellar,(See Mouth)
Cemetery,"A cemetery signifies appeasement, fear, or a reminder of the hereafter. It represents seclusion, devotion, or a hypocritical person. Walking in a funeral procession signifies repentance or spiritual benefit. Visiting a graveyard reflects self-restraint, justice, or forgetting important matters."
Censure,Censure from a respected figure in a dream indicates repentance and love. Rebuking oneself signifies regret for wrongdoing.
Cent,"A cent represents arguments, falsehood, or pride. Swallowing a coin signifies atheism. Pennies represent evil, fights, or meager earnings. If God's name is on it, it signifies wrongful actions in God's name."
Cepheus,(See Constellations)
Cereal,(See Breakfast food)
Cerebrum,(See Body; Brain)
Ceremonial dinner,(See Banquet)
Cessation,(See Truce)
Chain,"A chain represents an old or rich woman, threats, or complications. It can also signify marriage to someone of bad character or distress."
Chair,"A chair signifies authority, rank, or a woman. An iron chair represents power. Sitting on a chair indicates gaining authority or returning home. A broken chair signifies potential death, separation, or loss of authority. A chair also represents happiness, promotion, or spiritual success."
Dream,Interpretation
Chamber,"A chamber in a dream means safety, security, marriage, a newborn, or the lady of the house. Seeing a chamber from a distance means joy, satisfaction, and happiness. To be inside a chamber with two or three compartments in a dream also means security. Walking scared into a room whose owner is unknown in a dream means security, safety, and appeasement of one's fears. If one is sick, then it means entering paradise or recovering from illness, rising in rank, enjoying an elevated position in the world, presiding over people through knowledge, experience, leadership, or spiritual attainment. If a poor person sees himself inside a new room in a dream, it means satisfaction and wealth. If a rich person sees that in a dream, it means loss of money or business. If a destitute sees himself inside an old room in a dream, it means that he will become increasingly poor and penniless, and if he is rich, it means that his wealth will increase. Building a room on the second floor in a dream means marrying a second wife."
Chandelier,"In a dream, a chandelier represents a person of firm and resolute standing. The falling of a chandelier means death or falling prices for that year."
Chandler,"In a dream, a chandler represents festivities, joy, happiness, death, illness, guidance, knowledge, wanting something, or crying for it."
Charcoal grill,(See Brazier)
Charcoal,Represents a hidden place or source of income. Seeing charcoal may suggest hidden troubles or a situation requiring caution.
Chard,"Means blessings and profits. If eaten raw, it suggests continuous indebtedness or engaging in loathsome acts. It also represents slander."
Charity,"Means repelling calamities, recovering from illness, profits, or truthfulness. Giving charity with something unacceptable signifies pursuing evil. If given to a rich person, it means tight financial circumstances. Giving to a prostitute means repentance, to a thief means cessation of theft. Charity also denotes celebrating praises, devotion, or seeking knowledge."
Cheese,"Represents a marriage contract, prosperity, or longevity. For opponents, it signifies cowardice. Soft cheese indicates current financial success, while hardened cheese suggests a journey. Eating bread with cheese means miserliness."
Cherries,"Represent easy money, recovering from illness, happiness, joy, and celebrations."
Chervil,Represents a good person who helps others. Both dry and green chervil mean money.
Chess bishop,"Signifies playfulness, distraction, or a chronic illness."
Chess knight,"Represents contracts, deals, money, cheating, or the death of a sick person."
Chess queen,Represents a noble rank.
Chess,"Means mixing with all kinds of people, deception, fights, or ploys. Seeing a chessboard without players indicates a strike or dismissal. Winning signifies political or military success. It also means vain talk or a weak fight."
Chessboard,"Represents the world, life and death, sports, wars, jealousy, temptation, or wealth."
Chessmen,"Denotes rightfulness, balance, privacy, or sudden death. For a pregnant woman, it means giving birth to a daughter."
Chest pain,"Denotes a sin, being spendthrift, or punishment for generosity not in God's pleasure."
Chest (Bosom; Heart),"Represents repentance, willingness to follow the truth, or a coffer hiding one's money. A broad chest means preference for others' needs, while a narrow chest signifies heedlessness or loss of money. A stone-like chest means hardness of heart."
Chewing food,Exaggerated chewing means disdain for honest livelihood. Swallowing unchewed food indicates debts or collectors.
Chewing gum,Means committing loathsome sins or engaging in disputes. It could also signify losing one's sense of taste.
Chewing,Represents illness or loss of appetite. Chewing gum means earning money with accompanying conflicts. Chewing sugar cane means hearing pleasing words.
Chick-peas,Mean hard-earned money.
Chicken,"Represents the woman of the house, a servant, or a blond woman. Owning a chicken means dispelling difficulties. Hunting a chicken means lawful profits. Slaughtering a chicken means deflowering a virgin servant."
Chicks,Represent a stolen or missing child. Eating chick's meat means receiving unlawful money. Chicks signify something that develops quickly.
Child,"Represents responsibility, distress, glad tidings, power, or a weak enemy. Carrying a child means managing inheritance or financial investment. Children can also signify contentment, temptation, or distress."
Childbearing,(See Pregnancy)
Childbirth,"Giving birth to a son means wealth or conclusion of sufferings. Giving birth to a daughter means honor and ease. For a traveler, it means obstruction of travel. Giving birth from the mouth means death."
Children,"Represent dependents or temptations. They can signify joy or sorrow, financial changes, or future prospects."
Chill,(See Feverish chill)
Chin,"Represents beauty, wealth, support, or an honorable position. It also means properly performing ritual ablution."
Chirp of a swallow,(See Sound of animals)
Chisel,Means using a tool to attain one's goal or represent someone forced to travel. It also represents someone with unhealed wounds due to greed.
Chomp,(See Bite)
Chopping off,(See Cutting off)
Christian temple,(See Church; Temple)
Chronic illness,"Means hindrances to travel plans, difficulties in work involving hands and feet, or impediments to achieving goals."
Chrysolite,Represents a ranking authority combining courage and reverence. Receiving a ring with this stone from one's son means his good character.
Church,"For a Christian, it signifies worship, knowledge, devotion, or distress. It could also represent a meeting house, slander, or a scheme. If a church turns into a synagogue or vice versa, it indicates mistrust or arguments."
Churn or butterskin,Represents a scholar or renunciate who imparts knowledge but does not act upon it.
Cincture,"For Christians, it signifies devotion and abstinence. For Muslims, it represents faith, certitude, determination, or opposing fallacies. A new cincture over the gown indicates begetting a son; under the gown signifies fallaciousness or spiritual corruption."
Circumambulation around Mecca,"Indicates freedom from suffering, marriage for the unmarried, promotion for the qualified, development of good character, safety from fear, repayment of debts, and trustworthy behavior. Circumambulating while riding indicates committing adultery."
Circumcising nurse,Represents someone who shamelessly exposes private parts or follows scandalous issues.
Circumcision,"Means purification, cleanliness, or celebrations. It can also indicate forgiveness of sins, undergoing surgery, or separation between family members. Discovering circumcision may mean apostasy for monetary gain."
Cistern,"Represents a pouch, partner, or dignity. Filled with water, it signifies prosperity; filled with other substances, it indicates stagnation, alms tax obligations, or worldly gains over spiritual ones."
Citadel or fortress,"Represents leadership, marriage, property acquisition, ascetic detachment, or protection from adversities. Demolishing a citadel indicates harm, while standing near battlements suggests benefiting from someone important."
Citron,Represents a cure from illness or hypocrisy.
City,"Represents appeasement of fears, learned people, or the world. A ruined city signifies loss of learned individuals. A flourishing city signifies spiritual awareness and religious devotion. Different cities symbolize different meanings, such as prosperity or adversity."
Civet,"Represents honorable profits, valuable properties, or beneficial trades. Preparing civet on fire signifies preparing perfumes."
Clamor,"Indicates social disorder, public outcry, or participating in significant events."
Clapping hands,"Represents pagan customs, illness, or a vacant house."
Clarity of speech,(No specific interpretation provided)
Claw hammer,(No specific interpretation provided)
Claw,"Represents victory over one's enemy, protection, and weapon."
Clay,"Represents sickness, disgrace, or benefits depending on the context. Dry clay signifies financial cutbacks, while wet clay indicates righteousness. Eating clay signifies backbiting."
Cleaner,Represents someone who investigates conditions and helps people. Cleaning different places signifies various aspects of seeking righteous company or investigating others' conditions.
Cleaver,Represents a strong and courageous man who can clearly distinguish right from wrong.
Climacteric,(No specific interpretation provided)
Climax,(No specific interpretation provided)
Climb,(No specific interpretation provided)
Climbing a mountain,Represents sheltering one's chastity and enjoying the company of one's wife.
Clipping one's beard,(No specific interpretation provided)
Cloak,"Represents marriage, a child-bearing wife, longevity, or protection. A cloak lined with dark sable fur signifies an immoral lover."
Clock,Represents money equal to the time seen in the dream. An alarm clock signifies exposing ills and fulfilling promises.
Close,"Represents marriage or divorce. Shutting a door means marrying a righteous woman, while locking a door may indicate worldly pursuits over religious obligations."
Closet,"Represents one's wife, a hide-out, or confidentiality. A destroyed closet may signify a wife's death."
Clot,(No specific interpretation provided)
Cloth,Represents a long journey or undertaking.
Clothing,"Represents one's innermost thoughts and their manifestation. Different types of garments signify various meanings such as honor, distress, or purity."
Cloud of destruction,Represents punishment for disobedience or a sign of calamity.
Cloud of smoke,"Represents adversities, illness, or calamity. Smoke without a burning odor indicates defamation, while smoke caused by fire signifies joy after distress."
"Wearing coarse clothing, eating coarse food, or speaking harsh words","Indicates severe changes in the dreamer's life, potentially affecting savings. Comfort with these changes signifies humility and contentment; discomfort suggests divine displeasure."
Making or wearing a coat of mail,"Represents protection from enemies, leadership, or business success. It may also signify a strong, supportive friend or son."
Wearing a coat,New coat symbolizes honor and respect; shabby coat suggests failure in religious duties. A winter coat indicates boastfulness or poverty. Losing a coat means protection from poverty.
Cocaine,Represents intoxicants.
Cock fighting,"Symbolizes instigating disputes or enmity between friends, scholars, or religious leaders."
Eating a coconut,May indicate potential to become a fortuneteller or contracting intestinal issues.
Resisting coercion,"Represents strong faith in God, fear of wrongdoing, and pleasing offerings."
Coffee pot,"Symbolizes ascetic detachment, devotion, a son, a servant, a small town, a profitable business, or travels."
Coffin,Represents great wealth or potential escape from danger. Hiding in a coffin suggests fear of enemies; riding on a coffin may indicate inheritance disputes or beneficial outcomes.
Colder weather,"Represents poverty or distress. Cold weather in summer means benefits; in winter, travel plans may be hindered."
Suffering from colitis,"Indicates malaise or strained family relations; for a woman, it may signify pregnancy or harsh interactions."
Collapsing walls,"May signify personal or family loss, illness, or destruction. Rebuilding suggests spiritual awakening or the arrival of a guest."
Wearing a collarband,Represents pride or pleasure in one's family or spouse. Its material can signify marriage prospects or character of a partner.
Comb,"Represents a good person or auspicious time for business. Combing hair signifies charitable acts, comfort, or victory over enemies."
Compensate or commutative contract,"Represents enduring adversity with patience, eventually replaced by greater rewards."
Companion of the road,A friend accompanying a sick person indicates recovery. Accompanying an unknown person signifies losses.
Companions of the Prophet,Indicates relief and prosperity for suffering areas or increased knowledge and spiritual growth.
Combining coordinates,Represents benefiting others through one's knowledge or advice.
Complimenting oneself,"Means committing a sin; if complimented by others, it signifies success through their influence."
Column,Represents one's religion or an important person. It may also signify a strong supporter or leader.
Dream of seeing Alcyone,Represents dirt or wealth.
Dream of seeing Aldebaran,Indicates retreat or one's sexual organs.
Dream of seeing Andromeda,Represents a woman in distress.
Dream of seeing Alhena,Signifies satisfaction or impotence.
Dream of seeing Antilia,Represents iron.
